Vector Size, Broadcast Time (seconds)
9130, 1.111e-05
9140, 1.1394e-05
9150, 1.1262e-05
9160, 1.113e-05
9170, 1.0966e-05
9180, 1.1561e-05
9190, 1.1337e-05
9200, 1.6707e-05
9210, 1.1717e-05
9220, 1.2976e-05
9230, 1.1131e-05
9240, 1.1235e-05
9250, 1.0623e-05
9260, 1.1671e-05
9270, 1.0579e-05
9280, 1.0399e-05
9290, 1.0428e-05
9300, 1.0842e-05
9310, 1.1654e-05
9320, 1.1093e-05
9330, 1.2091e-05
9340, 1.1213e-05
9350, 1.0607e-05
9360, 1.1845e-05
9370, 1.0717e-05
9380, 1.2035e-05
9390, 1.0375e-05
9400, 1.1424e-05
9410, 1.0275e-05
9420, 1.0211e-05
9430, 1.0406e-05
9440, 1.1266e-05
9450, 1.0448e-05
9460, 1.0158e-05
9470, 1.0516e-05
9480, 1.0196e-05
9490, 1.0476e-05
9500, 1.0278e-05
9510, 1.0368e-05
9520, 1.0224e-05
9530, 1.0824e-05
9540, 1.0324e-05
9550, 1.0422e-05
9560, 1.0515e-05
9570, 1.0325e-05
9580, 1.0629e-05
9590, 1.2641e-05
9600, 1.0671e-05
9610, 1.0743e-05
9620, 1.0865e-05
9630, 1.0479e-05
9640, 1.083e-05
9650, 1.1716e-05
9660, 1.0826e-05
9670, 1.0617e-05
9680, 1.0718e-05
9690, 1.0871e-05
9700, 1.0675e-05
9710, 1.1364e-05
9720, 1.1567e-05
9730, 1.1346e-05
9740, 1.1379e-05
9750, 1.1207e-05
9760, 1.201e-05
9770, 1.1247e-05
9780, 1.151e-05
9790, 1.1406e-05
9800, 1.1412e-05
9810, 1.1575e-05
9820, 1.1976e-05
9830, 1.1585e-05
9840, 1.1742e-05
9850, 1.1443e-05
9860, 1.1991e-05
9870, 1.2384e-05
9880, 1.2386e-05
9890, 1.1994e-05
9900, 1.224e-05
9910, 1.2204e-05
9920, 1.1969e-05
9930, 1.2372e-05
9940, 1.2166e-05
9950, 2.0554e-05
9960, 1.1781e-05
9970, 1.1394e-05
9980, 1.1497e-05
9990, 1.0985e-05
10000, 1.1673e-05
10010, 1.1436e-05
10020, 1.1229e-05
10030, 1.1417e-05
10040, 1.1491e-05
10050, 1.2006e-05
10060, 1.1195e-05
10070, 1.1521e-05
10080, 1.1473e-05
10090, 1.1425e-05
10100, 1.1616e-05
10110, 1.1508e-05
10120, 1.1694e-05
10130, 1.1886e-05
10140, 1.1549e-05
10150, 1.1587e-05
10160, 1.1873e-05
10170, 1.201e-05
10180, 1.1976e-05
10190, 1.1902e-05
10200, 1.2287e-05
10210, 1.194e-05
10220, 1.2986e-05
10230, 1.1869e-05
10240, 1.1851e-05
10250, 1.3461e-05
10260, 1.267e-05
10270, 1.2111e-05
10280, 1.2786e-05
10290, 1.2489e-05
10300, 1.2173e-05
10310, 1.2322e-05
10320, 1.2215e-05
10330, 1.2057e-05
10340, 1.4027e-05
10350, 1.2558e-05
10360, 1.5028e-05
10370, 1.2242e-05
10380, 1.219e-05
10390, 1.2023e-05
10400, 1.225e-05
10410, 0.000111531
10420, 1.6503e-05
10430, 1.5843e-05
10440, 1.2496e-05
10450, 1.317e-05
10460, 1.1539e-05
10470, 1.1608e-05
10480, 1.1534e-05
10490, 1.1592e-05
10500, 1.1532e-05
10510, 1.1286e-05
10520, 1.1587e-05
10530, 1.1618e-05
10540, 1.1744e-05
10550, 1.1476e-05
10560, 1.1667e-05
10570, 1.1808e-05
10580, 1.155e-05
10590, 1.2005e-05
10600, 1.1742e-05
10610, 1.2292e-05
10620, 1.197e-05
10630, 1.1727e-05
10640, 1.15e-05
10650, 1.1754e-05
10660, 1.171e-05
10670, 1.1487e-05
10680, 1.1661e-05
10690, 1.188e-05
10700, 1.2071e-05
10710, 1.1996e-05
10720, 1.1702e-05
10730, 1.1706e-05
10740, 1.2114e-05
10750, 1.2238e-05
10760, 1.216e-05
10770, 1.1947e-05
10780, 1.1922e-05
10790, 1.2478e-05
10800, 1.2226e-05
10810, 1.1942e-05
10820, 1.1875e-05
10830, 1.2369e-05
10840, 1.2748e-05
10850, 1.2319e-05
10860, 1.2496e-05
10870, 1.2745e-05
10880, 1.2119e-05
10890, 1.2867e-05
10900, 1.2731e-05
10910, 1.2514e-05
10920, 1.2491e-05
10930, 1.2508e-05
10940, 1.2606e-05
10950, 1.2553e-05
10960, 1.3139e-05
10970, 1.3029e-05
10980, 2.0917e-05
10990, 1.3354e-05
11000, 1.2635e-05
11010, 1.2603e-05
11020, 1.2694e-05
11030, 1.291e-05
11040, 1.2961e-05
11050, 1.3277e-05
11060, 1.3523e-05
11070, 1.3113e-05
11080, 1.322e-05
11090, 1.3443e-05
11100, 1.3269e-05
11110, 1.3055e-05
11120, 1.3615e-05
11130, 1.3501e-05
11140, 1.3971e-05
11150, 1.3286e-05
11160, 1.3126e-05
11170, 1.3424e-05
11180, 1.3077e-05
11190, 1.3244e-05
11200, 1.317e-05
11210, 1.308e-05
11220, 1.3326e-05
11230, 1.8556e-05
11240, 1.2988e-05
11250, 1.2539e-05
11260, 1.2779e-05
11270, 1.2774e-05
11280, 1.2498e-05
11290, 1.2654e-05
11300, 1.2448e-05
