Vector Size, Broadcast Time (seconds)
5030, 3.957e-06
5040, 3.919e-06
5050, 3.891e-06
5060, 3.839e-06
5070, 3.791e-06
5080, 4.037e-06
5090, 3.924e-06
5100, 3.832e-06
5110, 3.864e-06
5120, 3.911e-06
5130, 4.236e-06
5140, 4.244e-06
5150, 4.064e-06
5160, 4.09e-06
5170, 4.12e-06
5180, 4.839e-06
5190, 3.993e-06
5200, 3.911e-06
5210, 4.049e-06
5220, 4.017e-06
5230, 3.901e-06
5240, 3.949e-06
5250, 3.963e-06
5260, 4.14e-06
5270, 3.934e-06
5280, 3.968e-06
5290, 3.952e-06
5300, 3.988e-06
5310, 3.964e-06
5320, 3.937e-06
5330, 4.015e-06
5340, 3.871e-06
5350, 3.972e-06
5360, 4.025e-06
5370, 3.937e-06
5380, 3.639e-06
5390, 3.924e-06
5400, 4.06e-06
5410, 4.149e-06
5420, 3.988e-06
5430, 4.043e-06
5440, 4.2e-06
5450, 4.172e-06
5460, 4.237e-06
5470, 4.185e-06
5480, 4.344e-06
5490, 5.018e-06
5500, 4.286e-06
5510, 4.299e-06
5520, 4.236e-06
5530, 4.154e-06
5540, 4.212e-06
5550, 4.284e-06
5560, 4.199e-06
5570, 4.317e-06
5580, 4.268e-06
5590, 4.131e-06
5600, 4.259e-06
5610, 5.134e-06
5620, 4.304e-06
5630, 4.444e-06
5640, 4.358e-06
5650, 4.354e-06
5660, 4.463e-06
5670, 4.368e-06
5680, 4.376e-06
5690, 4.182e-06
5700, 4.345e-06
5710, 4.2e-06
5720, 4.411e-06
5730, 4.231e-06
5740, 4.43e-06
5750, 4.404e-06
5760, 4.346e-06
5770, 4.424e-06
5780, 4.399e-06
5790, 4.375e-06
5800, 4.569e-06
5810, 4.312e-06
5820, 4.402e-06
5830, 4.275e-06
5840, 4.39e-06
5850, 4.389e-06
5860, 1.0447e-05
5870, 4.346e-06
5880, 4.484e-06
5890, 4.332e-06
5900, 7.228e-06
5910, 4.504e-06
5920, 4.432e-06
5930, 4.575e-06
5940, 4.457e-06
5950, 4.381e-06
5960, 4.436e-06
5970, 4.425e-06
5980, 4.659e-06
5990, 4.414e-06
6000, 4.51e-06
6010, 4.37e-06
6020, 4.576e-06
6030, 4.485e-06
6040, 4.537e-06
6050, 4.538e-06
6060, 4.608e-06
6070, 4.593e-06
6080, 4.541e-06
6090, 4.442e-06
6100, 4.548e-06
6110, 4.506e-06
6120, 4.556e-06
6130, 4.366e-06
6140, 4.608e-06
6150, 4.375e-06
6160, 7.382e-06
6170, 4.483e-06
6180, 4.524e-06
6190, 4.564e-06
6200, 4.555e-06
6210, 4.564e-06
6220, 4.569e-06
6230, 4.456e-06
6240, 4.646e-06
6250, 4.544e-06
6260, 4.569e-06
6270, 4.493e-06
6280, 4.692e-06
6290, 4.569e-06
6300, 4.615e-06
6310, 4.521e-06
6320, 5.559e-06
6330, 4.657e-06
6340, 4.829e-06
6350, 4.547e-06
6360, 4.749e-06
6370, 4.491e-06
6380, 4.661e-06
6390, 4.518e-06
6400, 4.596e-06
6410, 5.44e-06
6420, 4.78e-06
6430, 4.694e-06
6440, 4.607e-06
6450, 4.716e-06
6460, 4.43e-06
6470, 4.494e-06
6480, 4.603e-06
6490, 4.589e-06
6500, 4.729e-06
6510, 4.547e-06
6520, 4.653e-06
6530, 4.569e-06
6540, 4.669e-06
6550, 4.561e-06
6560, 5.296e-06
6570, 4.577e-06
6580, 5.038e-06
6590, 5.174e-06
6600, 5.149e-06
6610, 5.077e-06
6620, 5.199e-06
6630, 5.073e-06
6640, 5.036e-06
6650, 5.332e-06
6660, 5.168e-06
6670, 5.142e-06
6680, 5.126e-06
6690, 2.4685e-05
6700, 5.894e-06
6710, 5.415e-06
6720, 5.437e-06
6730, 5.437e-06
6740, 5.479e-06
6750, 5.317e-06
6760, 5.425e-06
6770, 5.311e-06
6780, 5.346e-06
6790, 5.301e-06
6800, 4.982e-06
6810, 4.752e-06
6820, 4.864e-06
6830, 4.626e-06
6840, 4.752e-06
6850, 4.799e-06
6860, 4.671e-06
6870, 4.656e-06
6880, 4.94e-06
6890, 4.809e-06
6900, 4.818e-06
6910, 4.983e-06
6920, 4.968e-06
6930, 4.772e-06
6940, 4.975e-06
6950, 4.618e-06
6960, 4.888e-06
6970, 4.82e-06
6980, 4.893e-06
6990, 4.832e-06
7000, 4.891e-06
7010, 4.769e-06
7020, 4.921e-06
7030, 4.86e-06
7040, 5.733e-06
7050, 4.915e-06
7060, 5.259e-06
7070, 5.026e-06
7080, 5.02e-06
7090, 4.862e-06
7100, 4.916e-06
7110, 4.821e-06
7120, 5.054e-06
7130, 4.797e-06
7140, 4.845e-06
7150, 4.841e-06
7160, 5.056e-06
7170, 4.954e-06
7180, 4.85e-06
7190, 7.645e-06
7200, 4.987e-06
7210, 4.867e-06
7220, 7.923e-06
7230, 4.823e-06
7240, 4.877e-06
7250, 4.876e-06
7260, 5.112e-06
7270, 4.966e-06
7280, 4.908e-06
7290, 4.818e-06
7300, 4.808e-06
7310, 4.736e-06
7320, 4.886e-06
7330, 4.908e-06
7340, 4.99e-06
7350, 4.918e-06
7360, 5.109e-06
7370, 4.91e-06
7380, 4.974e-06
7390, 4.755e-06
7400, 4.803e-06
7410, 4.819e-06
7420, 4.887e-06
7430, 4.885e-06
7440, 4.941e-06
7450, 4.882e-06
7460, 4.887e-06
7470, 4.867e-06
7480, 5.077e-06
7490, 5.071e-06
7500, 4.907e-06
7510, 5.02e-06
7520, 4.874e-06
7530, 4.982e-06
7540, 5.145e-06
7550, 5.079e-06
7560, 4.908e-06
7570, 5.203e-06
7580, 4.963e-06
7590, 4.943e-06
7600, 5.124e-06
7610, 5.151e-06
7620, 4.961e-06
7630, 5.049e-06
7640, 4.966e-06
7650, 5.001e-06
7660, 5.116e-06
7670, 5.928e-06
7680, 5.48e-06
7690, 5.262e-06
7700, 6.012e-06
7710, 5.184e-06
